Name,Team,Number,Position,Age,Height,Weight,College, Salary 
Dennis Schroder,Atlanta Hawks,17,PG,22,6.1,172,, 1 763 400
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,6.1,205,Michigan, 1 304 520
Mike Muscala,Atlanta Hawks,31,PF,24,6.1,240,Bucknell,  947 276
Lamar Patterson,Atlanta Hawks,13,SG,24,6.1,225,Pittsburgh,  525 093
Walter Tavares,Atlanta Hawks,22,C,24,7.3,260,, 1 000 000
Kent Bazemore,Atlanta Hawks,24,SF,26,6.1,201,Old Dominion, 2 000 000
Jeff Teague,Atlanta Hawks,0,PG,27,6.1,186,Wake Forest, 8 000 000
Mike Scott,Atlanta Hawks,32,PF,27,6.1,237,Virginia, 3 333 333
Al Horford,Atlanta Hawks,15,C,30,6.1,245,Florida, 12 000 000
Paul Millsap,Atlanta Hawks,4,PF,31,6.1,246,Louisiana Tech, 18 671 659
Tiago Splitter,Atlanta Hawks,11,C,31,6.1,245,, 9 756 250
Kris Humphries,Atlanta Hawks,43,PF,31,6.1,235,Minnesota, 1 000 000
Thabo Sefolosha,Atlanta Hawks,25,SF,32,6.1,220,, 4 000 000
Kyle Korver,Atlanta Hawks,26,SG,35,6.1,212,Creighton, 5 746 479
Kirk Hinrich,Atlanta Hawks,12,SG,35,6.1,190,Kansas, 2 854 940
James Young,Boston Celtics,13,SG,20,6.1,215,Kentucky, 1 749 840
Jordan Mickey,Boston Celtics,55,PF,21,6.1,235,LSU, 1 170 960
R.J. Hunter,Boston Celtics,28,SG,22,6.1,185,Georgia State, 1 148 640
Terry Rozier,Boston Celtics,12,PG,22,6.1,190,Louisville, 1 824 360
Marcus Smart,Boston Celtics,36,PG,22,6.1,220,Oklahoma State, 3 431 040
Jared Sullinger,Boston Celtics,7,C,24,6.1,260,Ohio State, 2 569 260
Kelly Olynyk,Boston Celtics,41,C,25,7.0,238,Gonzaga, 2 165 160
Avery Bradley,Boston Celtics,0,PG,25,6.1,180,Texas, 7 730 337
Jae Crowder,Boston Celtics,99,SF,25,6.1,235,Marquette, 6 796 117
Tyler Zeller,Boston Celtics,44,C,26,6.1,253,North Carolina, 2 616 975
