Datum,ID_VRSTE,TENDENCIJA,ID_LOKACIJE,KONCENTRACIJA
2011-05-04,1,,2,3
2011-05-10,1,,2,1
2011-05-10,2,0,2,0
2011-05-10,3,0,2,0
2011-05-10,4,0,2,0
2011-05-10,5,,2,1
2011-05-10,6,,2,1
2011-05-10,7,0,2,0
2011-05-10,8,0,2,0
2011-05-10,9,0,2,0
2011-05-10,10,0,2,0
2011-05-10,11,0,2,0
2011-05-10,12,0,2,0
2011-05-10,13,,2,1
2011-05-04,14,,2,3
2011-05-05,14,,2,2
2011-05-06,14,,2,1
2011-05-07,14,,2,3
2011-05-08,14,,2,2
2011-05-09,14,,2,3
2011-05-10,14,,2,3
2011-05-10,15,,2,1
2011-05-10,16,0,2,0
2011-05-10,17,,2,1
2011-05-10,18,,2,1
2011-05-10,19,0,2,0
2011-05-10,20,,2,1
2011-05-10,21,0,2,0
2011-05-10,22,,2,1
2011-05-10,23,0,2,0
2011-05-10,24,0,2,0
2011-05-04,25,,2,1
2011-05-05,25,,2,1
2011-05-06,25,,2,1
2011-05-07,25,,2,1
2011-05-08,25,,2,1
2011-05-09,25,,2,1
2011-05-10,25,,2,1
2011-05-22,8,0,4,0
2011-05-22,7,0,4,0
2011-05-18,6,,4,1
2011-05-22,6,3,4,1
2011-05-21,6,,4,1
2011-05-19,6,,4,1
2011-05-22,5,1,4,0
2011-05-17,5,,4,1
2011-05-16,5,,4,1
2011-05-22,1,0,4,0
2011-05-22,3,0,4,0
2011-05-22,2,0,4,0
2011-05-22,9,0,4,0
2011-05-20,13,,4,1
2011-05-22,10,0,4,0
2011-05-21,13,,4,1
2011-05-19,13,,4,1
2011-05-22,12,0,4,0
2011-05-18,13,,4,1
2011-05-22,11,1,4,0
2011-05-16,11,,4,1
2011-05-20,11,,4,1
2011-05-19,11,,4,1
2011-05-18,11,,4,1
2011-05-22,13,1,4,1
2011-05-22,4,0,4,0
2011-05-05,1,,10,1
2011-05-07,1,,10,1
2011-05-08,1,,10,1
2011-05-09,1,,10,1
2011-05-10,1,,10,1
2011-05-11,1,0,10,1
2011-05-06,2,,10,1
2011-05-07,2,,10,1
2011-05-08,2,,10,1
2011-05-11,2,0,10,1
2011-05-11,3,0,10,0
2011-05-11,4,0,10,0
2011-05-05,5,,10,3
2011-05-06,5,,10,3
2011-05-07,5,,10,3
2011-05-08,5,,10,3
2011-05-09,5,,10,3
2011-05-10,5,,10,3
2011-05-11,5,0,10,3
2011-05-11,6,0,10,0
2011-05-08,7,,10,1
2011-05-09,7,,10,1
2011-05-10,7,,10,1
2011-05-11,7,0,10,1
2011-05-11,8,0,10,0
2011-05-11,9,0,10,0
2011-05-11,10,0,10,0
2011-05-11,11,0,10,0
2011-05-05,12,,10,1
2011-05-06,12,,10,2
2011-05-07,12,,10,2
2011-05-08,12,,10,3
2011-05-09,12,,10,3
2011-05-10,12,,10,1
2011-05-11,12,0,10,1
2011-05-11,13,0,10,0
2011-05-11,14,0,10,0
2011-05-11,15,0,10,0
2011-05-11,16,0,10,0
2011-05-05,17,,10,1
2011-05-06,17,,10,1
2011-05-07,17,,10,1
2011-05-08,17,,10,2
2011-05-09,17,,10,2
2011-05-10,17,,10,1
2011-05-11,17,0,10,1
2011-05-11,18,0,10,0
2011-05-05,19,,10,1
2011-05-06,19,,10,1
2011-05-07,19,,10,1
2011-05-08,19,,10,1
2011-05-09,19,,10,1
2011-05-10,19,,10,1
2011-05-11,19,0,10,1
2011-05-05,20,,10,1
2011-05-06,20,,10,1
2011-05-11,20,0,10,0
2011-05-11,21,0,10,0
2011-05-05,22,,10,1
2011-05-06,22,,10,1
2011-05-07,22,,10,1
2011-05-08,22,,10,3
2011-05-09,22,,10,3
2011-05-10,22,,10,3
2011-05-11,22,0,10,3
2011-05-11,23,0,10,0
2011-05-06,24,,10,1
2011-05-07,24,,10,1
2011-05-11,24,0,10,0
2011-05-11,25,0,10,0
2011-04-04,1,,6,1
2011-04-06,1,,6,1
2011-04-07,1,,6,1
2011-04-08,1,,6,1
2011-04-09,1,,6,1
2011-04-10,1,0,6,1
2011-04-05,2,,6,1
2011-04-06,2,,6,1
2011-04-07,2,,6,1
2011-04-10,2,0,6,1
2011-04-10,3,0,6,0
2011-04-10,4,0,6,0
2011-04-04,5,,6,3
2011-04-05,5,,6,3
2011-04-06,5,,6,3
2011-04-07,5,,6,3
2011-04-08,5,,6,3
2011-04-09,5,,6,3
2011-04-10,5,0,6,3
2011-04-10,6,0,6,0
2011-04-07,7,,6,1
2011-04-08,7,,6,1
2011-04-09,7,,6,1
2011-04-10,7,0,6,1
2011-04-10,8,0,6,0
2011-04-10,9,0,6,0
2011-04-10,10,0,6,0
2011-04-10,11,0,6,0
2011-04-04,12,,6,1
2011-04-05,12,,6,2
2011-04-06,12,,6,2
2011-04-07,12,,6,3
2011-04-08,12,,6,3
2011-04-09,12,,6,1
2011-04-10,12,0,6,1
2011-04-10,13,0,6,0
2011-04-10,14,0,6,0
2011-04-10,15,0,6,0
2011-04-10,16,0,6,0
2011-04-04,17,,6,1
2011-04-05,17,,6,1
2011-04-06,17,,6,1
2011-04-07,17,,6,2
2011-04-08,17,,6,2
2011-04-09,17,,6,1
2011-04-10,17,0,6,1
2011-04-10,18,0,6,0
2011-04-04,19,,6,1
2011-04-05,19,,6,1
2011-04-06,19,,6,1
2011-04-07,19,,6,1
2011-04-08,19,,6,1
2011-04-09,19,,6,1
2011-04-10,19,0,6,1
2011-04-04,20,,6,1
2011-04-05,20,,6,1
2011-04-10,20,0,6,0
2011-04-10,21,0,6,0
2011-04-04,22,,6,1
2011-04-05,22,,6,1
2011-04-06,22,,6,1
2011-04-07,22,,6,3
2011-04-08,22,,6,3
2011-04-09,22,,6,3
2011-04-10,22,0,6,3
2011-04-10,23,0,6,0
2011-04-05,24,,6,1
2011-04-06,24,,6,1
2011-04-10,24,0,6,0
2011-04-10,25,0,6,0
2011-05-11,1,,2,1
2011-05-15,1,1,2,0
2011-05-15,2,0,2,0
2011-05-15,3,0,2,0
2011-05-15,4,0,2,0
2011-05-09,5,,2,1
2011-05-11,5,,2,1
2011-05-12,5,,2,1
2011-05-13,5,,2,1
2011-05-14,5,,2,1
2011-05-15,5,1,2,0
2011-05-11,6,,2,1
2011-05-14,6,,2,1
2011-05-15,6,3,2,1
2011-05-15,7,1,2,1
2011-05-15,8,0,2,0
2011-05-15,9,0,2,0
2011-05-15,10,0,2,0
2011-05-11,11,,2,1
2011-05-12,11,,2,1
2011-05-13,11,,2,1
2011-05-15,11,1,2,1
2011-05-09,12,,2,1
2011-05-15,12,1,2,0
2011-05-09,13,,2,1
2011-05-11,13,,2,1
2011-05-12,13,,2,1
2011-05-13,13,,2,1
2011-05-14,13,,2,1
2011-05-15,13,1,2,1
2011-05-11,14,,2,3
2011-05-12,14,,2,3
2011-05-13,14,,2,3
2011-05-14,14,,2,1
2011-05-15,14,1,2,1
2011-05-09,15,,2,3
2011-05-11,15,,2,2
2011-05-12,15,,2,1
2011-05-13,15,,2,2
2011-05-14,15,,2,3
2011-05-15,15,2,2,1
2011-05-12,16,,2,1
2011-05-13,16,,2,1
2011-05-14,16,,2,1
2011-05-15,16,3,2,1
2011-05-13,17,,2,1
2011-05-15,17,1,2,1
2011-05-09,18,,2,1
2011-05-11,18,,2,1
2011-05-12,18,,2,1
2011-05-13,18,,2,1
2011-05-14,18,,2,1
2011-05-15,18,3,2,2
2011-05-15,19,0,2,0
2011-05-09,20,,2,1
2011-05-12,20,,2,1
2011-05-13,20,,2,1
2011-05-14,20,,2,1
2011-05-15,20,1,2,1
2011-05-09,21,,2,1
2011-05-11,21,,2,1
2011-05-12,21,,2,1
2011-05-13,21,,2,1
2011-05-14,21,,2,1
2011-05-15,21,3,2,1
2011-05-09,22,,2,1
2011-05-11,22,,2,1
2011-05-12,22,,2,1
2011-05-13,22,,2,1
2011-05-14,22,,2,1
2011-05-15,22,1,2,1
2011-05-15,23,0,2,0
2011-05-15,24,0,2,0
2011-05-11,25,,2,1
2011-05-12,25,,2,2
2011-05-13,25,,2,1
2011-05-14,25,,2,1
2011-05-15,25,3,2,1
2011-05-22,1,0,2,0
2011-05-22,2,0,2,0
2011-05-22,3,0,2,0
2011-05-22,4,0,2,0
2011-05-16,5,,2,1
2011-05-22,5,0,2,0
2011-05-16,6,,2,1
2011-05-18,6,,2,1
2011-05-19,6,,2,1
2011-05-20,6,,2,1
2011-05-21,6,,2,1
2011-05-22,6,3,2,1
2011-05-22,7,0,2,0
2011-05-18,8,,2,1
2011-05-22,8,0,2,0
2011-05-22,9,0,2,0
2011-05-18,10,,2,1
2011-05-19,10,,2,1
2011-05-22,10,1,2,1
2011-05-16,11,,2,1
2011-05-17,11,,2,1
2011-05-18,11,,2,1
2011-05-20,11,,2,1
2011-05-22,11,1,2,0
2011-05-22,12,0,2,0
2011-05-17,13,,2,1
2011-05-18,13,,2,1
2011-05-19,13,,2,1
2011-05-20,13,,2,1
2011-05-21,13,,2,1
2011-05-22,13,1,2,1
2011-05-16,14,,2,1
2011-05-17,14,,2,1
2011-05-18,14,,2,1
2011-05-20,14,,2,1
2011-05-21,14,,2,1
2011-05-22,14,1,2,0
2011-05-16,15,,2,1
2011-05-17,15,,2,1
2011-05-18,15,,2,1
2011-05-19,15,,2,1
2011-05-20,15,,2,1
2011-05-21,15,,2,1
2011-05-22,15,2,2,1
2011-05-18,16,,2,1
2011-05-19,16,,2,1
2011-05-21,16,,2,1
2011-05-22,16,3,2,1
2011-05-17,17,,2,1
2011-05-18,17,,2,1
2011-05-19,17,,2,1
2011-05-20,17,,2,1
2011-05-22,17,1,2,0
2011-05-16,18,,2,1
2011-05-18,18,,2,1
2011-05-19,18,,2,2
2011-05-20,18,,2,2
2011-05-21,18,,2,2
2011-05-22,18,3,2,3
2011-05-22,19,0,2,0
2011-05-16,20,,2,1
2011-05-17,20,,2,1
2011-05-18,20,,2,1
2011-05-20,20,,2,1
2011-05-22,20,1,2,1
2011-05-18,21,,2,1
2011-05-19,21,,2,1
2011-05-21,21,,2,1
2011-05-22,21,3,2,1
2011-05-21,22,,2,1
2011-05-22,22,1,2,0
2011-05-22,23,0,2,0
2011-05-22,24,0,2,0
2011-05-16,25,,2,1
2011-05-17,25,,2,1
2011-05-18,25,,2,1
2011-05-20,25,,2,1
2011-05-21,25,,2,2
2011-05-22,25,3,2,1
2011-05-22,1,0,3,0
2011-05-22,2,0,3,0
2011-05-22,3,0,3,0
2011-05-22,4,0,3,0
2011-05-18,5,,3,1
2011-05-19,5,,3,1
2011-05-21,5,,3,1
2011-05-22,5,1,3,0
2011-05-17,6,,3,1
2011-05-18,6,,3,1
2011-05-19,6,,3,1
2011-05-20,6,,3,1
2011-05-21,6,,3,1
2011-05-22,6,3,3,1
2011-05-18,7,,3,1
2011-05-19,7,,3,1
2011-05-20,7,,3,1
2011-05-22,7,1,3,0
2011-05-22,8,0,3,0
2011-05-22,9,0,3,0
2011-05-18,10,,3,1
2011-05-19,10,,3,1
2011-05-20,10,,3,1
2011-05-22,10,1,3,1
2011-05-18,11,,3,1
2011-05-19,11,,3,1
2011-05-20,11,,3,1
2011-05-22,11,1,3,0
2011-05-16,12,,3,1
2011-05-18,12,,3,1
2011-05-19,12,,3,1
2011-05-20,12,,3,1
2011-05-21,12,,3,1
2011-05-22,12,1,3,1
2011-05-19,13,,3,1
2011-05-20,13,,3,1
2011-05-21,13,,3,1
2011-05-22,13,1,3,1
2011-05-16,14,,3,1
2011-05-18,14,,3,1
2011-05-19,14,,3,1
2011-05-20,14,,3,1
2011-05-21,14,,3,1
2011-05-22,14,1,3,1
2011-05-16,15,,3,1
2011-05-18,15,,3,1
2011-05-19,15,,3,1
2011-05-20,15,,3,1
2011-05-21,15,,3,1
2011-05-22,15,2,3,1
2011-05-20,16,,3,1
2011-05-21,16,,3,1
2011-05-22,16,3,3,0
2011-05-22,17,0,3,0
2011-05-16,18,,3,1
2011-05-17,18,,3,1
2011-05-18,18,,3,1
2011-05-19,18,,3,1
2011-05-20,18,,3,2
2011-05-21,18,,3,2
2011-05-22,18,3,3,2
2011-05-22,19,0,3,0
2011-05-16,20,,3,1
2011-05-18,20,,3,1
2011-05-19,20,,3,1
2011-05-20,20,,3,1
2011-05-21,20,,3,1
2011-05-22,20,1,3,1
2011-05-16,21,,3,1
2011-05-17,21,,3,1
2011-05-18,21,,3,1
2011-05-19,21,,3,1
2011-05-20,21,,3,1
2011-05-21,21,,3,1
2011-05-22,21,3,3,1
2011-05-16,22,,3,1
2011-05-18,22,,3,1
2011-05-19,22,,3,1
2011-05-20,22,,3,1
2011-05-21,22,,3,1
2011-05-22,22,1,3,1
2011-05-22,23,0,3,0
2011-05-22,24,0,3,0
2011-05-18,25,,3,1
2011-05-19,25,,3,1
2011-05-20,25,,3,1
2011-05-21,25,,3,1
2011-05-22,25,3,3,1
2011-05-22,1,0,6,0
2011-05-22,2,0,6,0
2011-05-22,3,0,6,0
2011-05-22,4,0,6,0
2011-05-16,5,,6,1
2011-05-22,5,1,6,0
2011-05-22,6,0,6,0
2011-05-16,7,,6,1
2011-05-22,7,1,6,0
2011-05-20,8,,6,1
2011-05-22,8,3,6,1
2011-05-22,9,0,6,0
2011-05-22,10,0,6,0
2011-05-18,11,,6,1
2011-05-19,11,,6,1
2011-05-20,11,,6,1
2011-05-22,11,1,6,1
2011-05-17,12,,6,1
2011-05-19,12,,6,1
2011-05-20,12,,6,1
2011-05-21,12,,6,1
2011-05-22,12,1,6,0
2011-05-17,13,,6,1
2011-05-19,13,,6,1
2011-05-20,13,,6,1
2011-05-22,13,1,6,1
2011-05-16,14,,6,1
2011-05-18,14,,6,1
2011-05-19,14,,6,1
2011-05-20,14,,6,1
2011-05-21,14,,6,1
2011-05-22,14,1,6,0
2011-05-16,15,,6,1
2011-05-17,15,,6,3
2011-05-18,15,,6,1
2011-05-19,15,,6,1
2011-05-20,15,,6,1
2011-05-21,15,,6,1
2011-05-22,15,2,6,1
2011-05-16,16,,6,1
2011-05-18,16,,6,1
2011-05-20,16,,6,1
2011-05-22,16,3,6,0
2011-05-22,17,0,6,0
2011-05-16,18,,6,2
2011-05-17,18,,6,1
2011-05-18,18,,6,1
2011-05-19,18,,6,3
2011-05-20,18,,6,3
2011-05-21,18,,6,3
2011-05-22,18,3,6,3
2011-05-22,19,0,6,0
2011-05-16,20,,6,1
2011-05-17,20,,6,1
2011-05-18,20,,6,1
2011-05-22,20,0,6,0
2011-05-22,21,0,6,0
2011-05-17,22,,6,1
2011-05-22,22,1,6,1
2011-05-22,23,0,6,0
2011-05-22,24,0,6,0
2011-05-16,25,,6,1
2011-05-17,25,,6,1
2011-05-18,25,,6,1
2011-05-19,25,,6,3
2011-05-20,25,,6,3
2011-05-21,25,,6,3
2011-05-22,25,3,6,3
2011-05-22,1,0,7,0
2011-05-22,2,0,7,0
2011-05-22,3,0,7,0
2011-05-22,4,0,7,0
2011-05-22,5,0,7,0
2011-05-22,6,0,7,0
2011-05-22,7,0,7,0
2011-05-16,8,,7,1
2011-05-17,8,,7,1
2011-05-18,8,,7,1
2011-05-19,8,,7,1
2011-05-20,8,,7,1
2011-05-21,8,,7,1
2011-05-22,8,3,7,1
2011-05-22,9,0,7,0
2011-05-22,10,0,7,0
2011-05-17,11,,7,1
2011-05-18,11,,7,1
2011-05-21,11,,7,1
2011-05-22,11,1,7,0
2011-05-22,12,0,7,0
2011-05-16,13,,7,1
2011-05-18,13,,7,1
2011-05-19,13,,7,1
2011-05-20,13,,7,1
2011-05-21,13,,7,1
2011-05-22,13,1,7,0
2011-05-16,14,,7,1
2011-05-18,14,,7,1
2011-05-19,14,,7,2
2011-05-20,14,,7,1
2011-05-21,14,,7,1
2011-05-22,14,1,7,2
2011-05-16,15,,7,1
2011-05-18,15,,7,1
2011-05-19,15,,7,1
2011-05-20,15,,7,1
2011-05-21,15,,7,1
2011-05-22,15,2,7,1
2011-05-16,16,,7,1
2011-05-18,16,,7,1
2011-05-19,16,,7,1
2011-05-20,16,,7,1
2011-05-21,16,,7,1
2011-05-22,16,3,7,1
2011-05-22,17,0,7,0
2011-05-16,18,,7,1
2011-05-17,18,,7,1
2011-05-18,18,,7,1
2011-05-19,18,,7,1
2011-05-20,18,,7,1
2011-05-21,18,,7,1
2011-05-22,18,3,7,1
2011-05-22,19,0,7,0
2011-05-16,20,,7,1
2011-05-18,20,,7,1
2011-05-19,20,,7,1
2011-05-20,20,,7,1
2011-05-21,20,,7,1
2011-05-22,20,1,7,1
2011-05-21,21,,7,1
2011-05-22,21,3,7,1
2011-05-18,22,,7,1
2011-05-19,22,,7,1
2011-05-20,22,,7,1
2011-05-21,22,,7,1
2011-05-22,22,1,7,1
2011-05-22,23,0,7,0
2011-05-22,24,0,7,0
2011-05-16,25,,7,1
2011-05-17,25,,7,1
2011-05-18,25,,7,1
2011-05-19,25,,7,1
2011-05-20,25,,7,1
2011-05-21,25,,7,1
2011-05-22,25,3,7,1
2011-05-22,1,0,10,0
2011-05-22,2,0,10,0
2011-05-22,3,0,10,0
2011-05-22,4,0,10,0
2011-05-16,5,,10,1
2011-05-17,5,,10,1
2011-05-19,5,,10,1
2011-05-21,5,,10,1
2011-05-22,5,1,10,1
2011-05-22,6,0,10,0
2011-05-16,7,,10,1
2011-05-22,7,0,10,0
2011-05-22,8,0,10,0
2011-05-22,9,0,10,0
2011-05-16,10,,10,1
2011-05-17,10,,10,1
2011-05-18,10,,10,1
2011-05-19,10,,10,1
2011-05-21,10,,10,1
2011-05-22,10,1,10,0
2011-05-16,11,,10,1
2011-05-17,11,,10,1
2011-05-19,11,,10,1
2011-05-22,11,1,10,0
2011-05-22,12,0,10,0
2011-05-16,13,,10,1
2011-05-17,13,,10,1
2011-05-18,13,,10,1
2011-05-19,13,,10,1
2011-05-20,13,,10,1
2011-05-22,13,1,10,0
2011-05-16,14,,10,1
2011-05-18,14,,10,1
2011-05-19,14,,10,1
2011-05-20,14,,10,1
2011-05-21,14,,10,1
2011-05-22,14,1,10,1
2011-05-16,15,,10,1
2011-05-18,15,,10,1
2011-05-19,15,,10,1
2011-05-20,15,,10,1
2011-05-21,15,,10,1
2011-05-22,15,2,10,1
2011-05-22,16,0,10,0
2011-05-22,17,0,10,0
2011-05-16,18,,10,1
2011-05-17,18,,10,1
2011-05-18,18,,10,1
2011-05-19,18,,10,3
2011-05-20,18,,10,2
2011-05-21,18,,10,2
2011-05-22,18,3,10,2
2011-05-22,19,0,10,0
2011-05-16,20,,10,1
2011-05-17,20,,10,1
2011-05-18,20,,10,1
2011-05-20,20,,10,1
2011-05-22,20,1,10,0
2011-05-17,21,,10,1
2011-05-18,21,,10,1
2011-05-19,21,,10,1
2011-05-21,21,,10,1
2011-05-22,21,3,10,1
2011-05-16,22,,10,3
2011-05-17,22,,10,1
2011-05-20,22,,10,1
2011-05-21,22,,10,1
2011-05-22,22,1,10,1
2011-05-22,23,0,10,0
2011-05-22,24,0,10,0
2011-05-16,25,,10,2
2011-05-17,25,,10,1
2011-05-18,25,,10,1
2011-05-19,25,,10,1
2011-05-20,25,,10,1
2011-05-21,25,,10,1
2011-05-22,25,3,10,1
2011-05-16,14,,4,1
2011-05-17,14,,4,1
2011-05-18,14,,4,1
2011-05-19,14,,4,1
2011-05-20,14,,4,1
2011-05-21,14,,4,1
2011-05-22,14,1,4,0
2011-05-16,15,,4,1
2011-05-17,15,,4,1
2011-05-18,15,,4,1
2011-05-19,15,,4,1
2011-05-20,15,,4,1
2011-05-21,15,,4,1
2011-05-22,15,2,4,1
2011-05-19,16,,4,1
2011-05-21,16,,4,1
2011-05-22,16,3,4,1
2011-05-18,17,,4,1
2011-05-19,17,,4,1
2011-05-20,17,,4,1
2011-05-22,17,1,4,0
2011-05-16,18,,4,1
2011-05-17,18,,4,1
2011-05-18,18,,4,1
2011-05-19,18,,4,2
2011-05-20,18,,4,2
2011-05-21,18,,4,2
2011-05-22,18,3,4,3
2011-05-22,19,0,4,0
2011-05-17,20,,4,1
2011-05-19,20,,4,1
2011-05-20,20,,4,1
2011-05-21,20,,4,1
2011-05-22,20,1,4,0
2011-05-19,21,,4,1
2011-05-21,21,,4,1
2011-05-22,21,3,4,1
2011-05-21,22,,4,1
2011-05-22,22,1,4,1
