id,name,localized_name,margine_top,margine_bottom,type,allergenicity,allergenicity_display
1,ACER,ЈАВОР,100,60,1,1,mild
2,ALNUS,ЈОВА,100,60,1,3,high
3,AMBROSIA,АМБРОЗИЈА,100,30,3,3,high
4,ARTEMISIA,ПЕЛИН,100,60,3,2,moderate
5,BETULA,БРЕЗА,100,60,1,3,high
6,CANNABACEAE,КОНОПЉЕ,100,60,3,1,mild
7,CARPINUS,ГРАБ,100,60,1,1,mild
26,CELTIS,КОПРИВИЋ,100,60,1,1,mild
8,CHENOP/AMAR.,ШТИРЕВИ/ПЕПЕЉУГЕ,100,60,3,2,moderate
9,CORYLUS,ЛЕСКА,100,60,1,2,moderate
10,CUPRESS/TAXA.,ТИСА/ЧЕМПР.,100,60,1,2,moderate
11,FAGUS,БУКВА,100,60,1,1,mild
12,FRAXINUS,ЈАСЕН,100,60,1,2,moderate
13,JUGLANS,ОРАХ,100,60,1,2,moderate
14,MORACEAE,ДУД,100,60,1,1,mild
15,PINACEAE,ЧЕТИНАРИ,100,60,1,1,mild
16,PLANTAGO,БОКВИЦА,100,60,3,2,moderate
17,PLATANUS,ПЛАТАН,100,60,1,2,moderate
18,POACEAE,ТРАВЕ,100,60,2,3,high
19,POPULUS,ТОПОЛА,100,60,1,2,moderate
20,QUERCUS,ХРАСТ,100,60,1,2,moderate
21,RUMEX,КИСЕЛИЦЕ,100,60,3,2,moderate
22,SALIX,ВРБА,100,60,1,1,mild
23,TILIA,ЛИПА,100,60,1,1,mild
24,ULMACEAE,БРЕСТ,100,60,1,1,mild
25,URTICACEAE,КОПРИВА,100,60,3,3,high
