Datum,ID_VRSTE,TENDENCIJA,ID_LOKACIJE,KONCENTRACIJA
04-05-11,1,,2,3
10-05-11,1,,2,1
10-05-11,2,0,2,0
10-05-11,3,0,2,0
10-05-11,4,0,2,0
10-05-11,5,,2,1
10-05-11,6,,2,1
10-05-11,7,0,2,0
10-05-11,8,0,2,0
10-05-11,9,0,2,0
10-05-11,10,0,2,0
10-05-11,11,0,2,0
10-05-11,12,0,2,0
10-05-11,13,,2,1
04-05-11,14,,2,3
05-05-11,14,,2,2
06-05-11,14,,2,1
07-05-11,14,,2,3
08-05-11,14,,2,2
09-05-11,14,,2,3
10-05-11,14,,2,3
10-05-11,15,,2,1
10-05-11,16,0,2,0
10-05-11,17,,2,1
10-05-11,18,,2,1
10-05-11,19,0,2,0
10-05-11,20,,2,1
10-05-11,21,0,2,0
10-05-11,22,,2,1
10-05-11,23,0,2,0
10-05-11,24,0,2,0
04-05-11,25,,2,1
05-05-11,25,,2,1
06-05-11,25,,2,1
07-05-11,25,,2,1
08-05-11,25,,2,1
09-05-11,25,,2,1
10-05-11,25,,2,1
22-05-11,8,0,4,0
22-05-11,7,0,4,0
18-05-11,6,,4,1
22-05-11,6,3,4,1
21-05-11,6,,4,1
19-05-11,6,,4,1
22-05-11,5,1,4,0
17-05-11,5,,4,1
16-05-11,5,,4,1
22-05-11,1,0,4,0
22-05-11,3,0,4,0
22-05-11,2,0,4,0
22-05-11,9,0,4,0
20-05-11,13,,4,1
22-05-11,10,0,4,0
21-05-11,13,,4,1
19-05-11,13,,4,1
22-05-11,12,0,4,0
18-05-11,13,,4,1
22-05-11,11,1,4,0
16-05-11,11,,4,1
20-05-11,11,,4,1
19-05-11,11,,4,1
18-05-11,11,,4,1
22-05-11,13,1,4,1
22-05-11,4,0,4,0
05-05-11,1,,10,1
07-05-11,1,,10,1
08-05-11,1,,10,1
09-05-11,1,,10,1
10-05-11,1,,10,1
11-05-11,1,0,10,1
06-05-11,2,,10,1
07-05-11,2,,10,1
08-05-11,2,,10,1
11-05-11,2,0,10,1
11-05-11,3,0,10,0
11-05-11,4,0,10,0
05-05-11,5,,10,3
06-05-11,5,,10,3
07-05-11,5,,10,3
08-05-11,5,,10,3
09-05-11,5,,10,3
10-05-11,5,,10,3
11-05-11,5,0,10,3
11-05-11,6,0,10,0
08-05-11,7,,10,1
09-05-11,7,,10,1
10-05-11,7,,10,1
11-05-11,7,0,10,1
11-05-11,8,0,10,0
11-05-11,9,0,10,0
11-05-11,10,0,10,0
11-05-11,11,0,10,0
05-05-11,12,,10,1
06-05-11,12,,10,2
07-05-11,12,,10,2
08-05-11,12,,10,3
09-05-11,12,,10,3
10-05-11,12,,10,1
11-05-11,12,0,10,1
11-05-11,13,0,10,0
11-05-11,14,0,10,0
11-05-11,15,0,10,0
11-05-11,16,0,10,0
05-05-11,17,,10,1
06-05-11,17,,10,1
07-05-11,17,,10,1
08-05-11,17,,10,2
09-05-11,17,,10,2
10-05-11,17,,10,1
11-05-11,17,0,10,1
11-05-11,18,0,10,0
05-05-11,19,,10,1
06-05-11,19,,10,1
07-05-11,19,,10,1
08-05-11,19,,10,1
09-05-11,19,,10,1
10-05-11,19,,10,1
11-05-11,19,0,10,1
05-05-11,20,,10,1
06-05-11,20,,10,1
11-05-11,20,0,10,0
11-05-11,21,0,10,0
05-05-11,22,,10,1
06-05-11,22,,10,1
07-05-11,22,,10,1
08-05-11,22,,10,3
09-05-11,22,,10,3
10-05-11,22,,10,3
11-05-11,22,0,10,3
11-05-11,23,0,10,0
06-05-11,24,,10,1
07-05-11,24,,10,1
11-05-11,24,0,10,0
11-05-11,25,0,10,0
04-04-11,1,,6,1
06-04-11,1,,6,1
07-04-11,1,,6,1
08-04-11,1,,6,1
09-04-11,1,,6,1
10-04-11,1,0,6,1
05-04-11,2,,6,1
06-04-11,2,,6,1
07-04-11,2,,6,1
10-04-11,2,0,6,1
10-04-11,3,0,6,0
10-04-11,4,0,6,0
04-04-11,5,,6,3
05-04-11,5,,6,3
06-04-11,5,,6,3
07-04-11,5,,6,3
08-04-11,5,,6,3
09-04-11,5,,6,3
10-04-11,5,0,6,3
10-04-11,6,0,6,0
07-04-11,7,,6,1
08-04-11,7,,6,1
09-04-11,7,,6,1
10-04-11,7,0,6,1
10-04-11,8,0,6,0
10-04-11,9,0,6,0
10-04-11,10,0,6,0
10-04-11,11,0,6,0
04-04-11,12,,6,1
05-04-11,12,,6,2
06-04-11,12,,6,2
07-04-11,12,,6,3
08-04-11,12,,6,3
09-04-11,12,,6,1
10-04-11,12,0,6,1
10-04-11,13,0,6,0
10-04-11,14,0,6,0
10-04-11,15,0,6,0
10-04-11,16,0,6,0
04-04-11,17,,6,1
05-04-11,17,,6,1
06-04-11,17,,6,1
07-04-11,17,,6,2
08-04-11,17,,6,2
09-04-11,17,,6,1
10-04-11,17,0,6,1
10-04-11,18,0,6,0
04-04-11,19,,6,1
05-04-11,19,,6,1
06-04-11,19,,6,1
07-04-11,19,,6,1
08-04-11,19,,6,1
09-04-11,19,,6,1
10-04-11,19,0,6,1
04-04-11,20,,6,1
05-04-11,20,,6,1
10-04-11,20,0,6,0
10-04-11,21,0,6,0
04-04-11,22,,6,1
05-04-11,22,,6,1
06-04-11,22,,6,1
07-04-11,22,,6,3
08-04-11,22,,6,3
09-04-11,22,,6,3
10-04-11,22,0,6,3
10-04-11,23,0,6,0
05-04-11,24,,6,1
06-04-11,24,,6,1
10-04-11,24,0,6,0
10-04-11,25,0,6,0
11-05-11,1,,2,1
15-05-11,1,1,2,0
15-05-11,2,0,2,0
15-05-11,3,0,2,0
15-05-11,4,0,2,0
09-05-11,5,,2,1
11-05-11,5,,2,1
12-05-11,5,,2,1
13-05-11,5,,2,1
14-05-11,5,,2,1
15-05-11,5,1,2,0
11-05-11,6,,2,1
14-05-11,6,,2,1
15-05-11,6,3,2,1
15-05-11,7,1,2,1
15-05-11,8,0,2,0
15-05-11,9,0,2,0
15-05-11,10,0,2,0
11-05-11,11,,2,1
12-05-11,11,,2,1
13-05-11,11,,2,1
15-05-11,11,1,2,1
09-05-11,12,,2,1
15-05-11,12,1,2,0
09-05-11,13,,2,1
11-05-11,13,,2,1
12-05-11,13,,2,1
13-05-11,13,,2,1
14-05-11,13,,2,1
15-05-11,13,1,2,1
11-05-11,14,,2,3
12-05-11,14,,2,3
13-05-11,14,,2,3
14-05-11,14,,2,1
15-05-11,14,1,2,1
09-05-11,15,,2,3
11-05-11,15,,2,2
12-05-11,15,,2,1
13-05-11,15,,2,2
14-05-11,15,,2,3
15-05-11,15,2,2,1
12-05-11,16,,2,1
13-05-11,16,,2,1
14-05-11,16,,2,1
15-05-11,16,3,2,1
13-05-11,17,,2,1
15-05-11,17,1,2,1
09-05-11,18,,2,1
11-05-11,18,,2,1
12-05-11,18,,2,1
13-05-11,18,,2,1
14-05-11,18,,2,1
15-05-11,18,3,2,2
15-05-11,19,0,2,0
09-05-11,20,,2,1
12-05-11,20,,2,1
13-05-11,20,,2,1
14-05-11,20,,2,1
15-05-11,20,1,2,1
09-05-11,21,,2,1
11-05-11,21,,2,1
12-05-11,21,,2,1
13-05-11,21,,2,1
14-05-11,21,,2,1
15-05-11,21,3,2,1
09-05-11,22,,2,1
11-05-11,22,,2,1
12-05-11,22,,2,1
13-05-11,22,,2,1
14-05-11,22,,2,1
15-05-11,22,1,2,1
15-05-11,23,0,2,0
15-05-11,24,0,2,0
11-05-11,25,,2,1
12-05-11,25,,2,2
13-05-11,25,,2,1
14-05-11,25,,2,1
15-05-11,25,3,2,1
22-05-11,1,0,2,0
22-05-11,2,0,2,0
22-05-11,3,0,2,0
22-05-11,4,0,2,0
16-05-11,5,,2,1
22-05-11,5,0,2,0
16-05-11,6,,2,1
18-05-11,6,,2,1
19-05-11,6,,2,1
20-05-11,6,,2,1
21-05-11,6,,2,1
22-05-11,6,3,2,1
22-05-11,7,0,2,0
18-05-11,8,,2,1
22-05-11,8,0,2,0
22-05-11,9,0,2,0
18-05-11,10,,2,1
19-05-11,10,,2,1
22-05-11,10,1,2,1
16-05-11,11,,2,1
17-05-11,11,,2,1
18-05-11,11,,2,1
20-05-11,11,,2,1
22-05-11,11,1,2,0
22-05-11,12,0,2,0
17-05-11,13,,2,1
18-05-11,13,,2,1
19-05-11,13,,2,1
20-05-11,13,,2,1
21-05-11,13,,2,1
22-05-11,13,1,2,1
16-05-11,14,,2,1
17-05-11,14,,2,1
18-05-11,14,,2,1
20-05-11,14,,2,1
21-05-11,14,,2,1
22-05-11,14,1,2,0
16-05-11,15,,2,1
17-05-11,15,,2,1
18-05-11,15,,2,1
19-05-11,15,,2,1
20-05-11,15,,2,1
21-05-11,15,,2,1
22-05-11,15,2,2,1
18-05-11,16,,2,1
19-05-11,16,,2,1
21-05-11,16,,2,1
22-05-11,16,3,2,1
17-05-11,17,,2,1
18-05-11,17,,2,1
19-05-11,17,,2,1
20-05-11,17,,2,1
22-05-11,17,1,2,0
16-05-11,18,,2,1
18-05-11,18,,2,1
19-05-11,18,,2,2
20-05-11,18,,2,2
21-05-11,18,,2,2
22-05-11,18,3,2,3
22-05-11,19,0,2,0
16-05-11,20,,2,1
17-05-11,20,,2,1
18-05-11,20,,2,1
20-05-11,20,,2,1
22-05-11,20,1,2,1
18-05-11,21,,2,1
19-05-11,21,,2,1
21-05-11,21,,2,1
22-05-11,21,3,2,1
21-05-11,22,,2,1
22-05-11,22,1,2,0
22-05-11,23,0,2,0
22-05-11,24,0,2,0
16-05-11,25,,2,1
17-05-11,25,,2,1
18-05-11,25,,2,1
20-05-11,25,,2,1
21-05-11,25,,2,2
22-05-11,25,3,2,1
22-05-11,1,0,3,0
22-05-11,2,0,3,0
22-05-11,3,0,3,0
22-05-11,4,0,3,0
18-05-11,5,,3,1
19-05-11,5,,3,1
21-05-11,5,,3,1
22-05-11,5,1,3,0
17-05-11,6,,3,1
18-05-11,6,,3,1
19-05-11,6,,3,1
20-05-11,6,,3,1
21-05-11,6,,3,1
22-05-11,6,3,3,1
18-05-11,7,,3,1
19-05-11,7,,3,1
20-05-11,7,,3,1
22-05-11,7,1,3,0
22-05-11,8,0,3,0
22-05-11,9,0,3,0
18-05-11,10,,3,1
19-05-11,10,,3,1
20-05-11,10,,3,1
22-05-11,10,1,3,1
18-05-11,11,,3,1
19-05-11,11,,3,1
20-05-11,11,,3,1
22-05-11,11,1,3,0
16-05-11,12,,3,1
18-05-11,12,,3,1
19-05-11,12,,3,1
20-05-11,12,,3,1
21-05-11,12,,3,1
22-05-11,12,1,3,1
19-05-11,13,,3,1
20-05-11,13,,3,1
21-05-11,13,,3,1
22-05-11,13,1,3,1
16-05-11,14,,3,1
18-05-11,14,,3,1
19-05-11,14,,3,1
20-05-11,14,,3,1
21-05-11,14,,3,1
22-05-11,14,1,3,1
16-05-11,15,,3,1
18-05-11,15,,3,1
19-05-11,15,,3,1
20-05-11,15,,3,1
21-05-11,15,,3,1
22-05-11,15,2,3,1
20-05-11,16,,3,1
21-05-11,16,,3,1
22-05-11,16,3,3,0
22-05-11,17,0,3,0
16-05-11,18,,3,1
17-05-11,18,,3,1
18-05-11,18,,3,1
19-05-11,18,,3,1
20-05-11,18,,3,2
21-05-11,18,,3,2
22-05-11,18,3,3,2
22-05-11,19,0,3,0
16-05-11,20,,3,1
18-05-11,20,,3,1
19-05-11,20,,3,1
20-05-11,20,,3,1
21-05-11,20,,3,1
22-05-11,20,1,3,1
16-05-11,21,,3,1
17-05-11,21,,3,1
18-05-11,21,,3,1
19-05-11,21,,3,1
20-05-11,21,,3,1
21-05-11,21,,3,1
22-05-11,21,3,3,1
16-05-11,22,,3,1
18-05-11,22,,3,1
19-05-11,22,,3,1
20-05-11,22,,3,1
21-05-11,22,,3,1
22-05-11,22,1,3,1
22-05-11,23,0,3,0
22-05-11,24,0,3,0
18-05-11,25,,3,1
19-05-11,25,,3,1
20-05-11,25,,3,1
21-05-11,25,,3,1
22-05-11,25,3,3,1
22-05-11,1,0,6,0
22-05-11,2,0,6,0
22-05-11,3,0,6,0
22-05-11,4,0,6,0
16-05-11,5,,6,1
22-05-11,5,1,6,0
22-05-11,6,0,6,0
16-05-11,7,,6,1
22-05-11,7,1,6,0
20-05-11,8,,6,1
22-05-11,8,3,6,1
22-05-11,9,0,6,0
22-05-11,10,0,6,0
18-05-11,11,,6,1
19-05-11,11,,6,1
20-05-11,11,,6,1
22-05-11,11,1,6,1
17-05-11,12,,6,1
19-05-11,12,,6,1
20-05-11,12,,6,1
21-05-11,12,,6,1
22-05-11,12,1,6,0
17-05-11,13,,6,1
19-05-11,13,,6,1
20-05-11,13,,6,1
22-05-11,13,1,6,1
16-05-11,14,,6,1
18-05-11,14,,6,1
19-05-11,14,,6,1
20-05-11,14,,6,1
21-05-11,14,,6,1
22-05-11,14,1,6,0
16-05-11,15,,6,1
17-05-11,15,,6,3
18-05-11,15,,6,1
19-05-11,15,,6,1
20-05-11,15,,6,1
21-05-11,15,,6,1
22-05-11,15,2,6,1
16-05-11,16,,6,1
18-05-11,16,,6,1
20-05-11,16,,6,1
22-05-11,16,3,6,0
22-05-11,17,0,6,0
16-05-11,18,,6,2
17-05-11,18,,6,1
18-05-11,18,,6,1
19-05-11,18,,6,3
20-05-11,18,,6,3
21-05-11,18,,6,3
22-05-11,18,3,6,3
22-05-11,19,0,6,0
16-05-11,20,,6,1
17-05-11,20,,6,1
18-05-11,20,,6,1
22-05-11,20,0,6,0
22-05-11,21,0,6,0
17-05-11,22,,6,1
22-05-11,22,1,6,1
22-05-11,23,0,6,0
22-05-11,24,0,6,0
16-05-11,25,,6,1
17-05-11,25,,6,1
18-05-11,25,,6,1
19-05-11,25,,6,3
20-05-11,25,,6,3
21-05-11,25,,6,3
22-05-11,25,3,6,3
22-05-11,1,0,7,0
22-05-11,2,0,7,0
22-05-11,3,0,7,0
22-05-11,4,0,7,0
22-05-11,5,0,7,0
22-05-11,6,0,7,0
22-05-11,7,0,7,0
16-05-11,8,,7,1
17-05-11,8,,7,1
18-05-11,8,,7,1
19-05-11,8,,7,1
20-05-11,8,,7,1
21-05-11,8,,7,1
22-05-11,8,3,7,1
22-05-11,9,0,7,0
22-05-11,10,0,7,0
17-05-11,11,,7,1
18-05-11,11,,7,1
21-05-11,11,,7,1
22-05-11,11,1,7,0
22-05-11,12,0,7,0
16-05-11,13,,7,1
18-05-11,13,,7,1
19-05-11,13,,7,1
20-05-11,13,,7,1
21-05-11,13,,7,1
22-05-11,13,1,7,0
16-05-11,14,,7,1
18-05-11,14,,7,1
19-05-11,14,,7,2
